id,lucsum,soilsum,vegsum,ADMIN,ADM0_A3,NAME,NAME_LONG,BRK_NAME,cstock,tot_H,tot_S
pota,9010.89996638149,1133692.417825222,510040.4869309068,Mozambique,MOZ,Mozambique,Mozambique,Mozambique,1.1,318838.5787517618,388035.9765844073
pota,778.300011254847,77404.18335914612,57718.89691734314,eSwatini,SWZ,eSwatini,Kingdom of eSwatini,eSwatini,1.1,359052.60528031015,413751.69333363214
pota,11159.69993534684,1546163.201360703,2037673.653453827,Burundi,BDI,Burundi,Burundi,Burundi,1.1,792474.3131154733,868676.1613439271
pota,61427.2994658947,8762655.048919678,14097500.12367249,Rwanda,RWA,Rwanda,Rwanda,Rwanda,1.1,968226.0383292832,1046683.9929978204
pota,28824.29999570549,4780607.134634972,5294298.127690315,Uganda,UGA,Uganda,Uganda,Uganda,1.1,821473.2593156362,912692.6098095243
pota,2879.699986077845,316313.8556509018,225361.1150979996,Lesotho,LSO,Lesotho,Lesotho,Lesotho,1.1,383603.7336421856,444017.1869356125
pota,47242.19967137277,6010187.971459389,7267726.052420616,Cameroon,CMR,Cameroon,Cameroon,Cameroon,1.1,676664.6031812499,746636.0144893003
pota,NA,NA,NA,Gabon,GAB,Gabon,Gabon,Gabon,1.1,343206.3722331556,393539.24273841426
pota,750.8000148758292,23459.06939294562,1263.362261538045,Niger,NER,Niger,Niger,Niger,1.1,30778.167356583697,47963.15391822351
pota,833.499999307096,49723.32542359829,3267.17975538969,Burkina Faso,BFA,Burkina Faso,Burkina Faso,Burkina Faso,1.1,65024.1041262677,97834.93676659622
pota,NA,NA,NA,Togo,TGO,Togo,Togo,Togo,1.1,343206.3722331556,393539.24273841426
pota,NA,NA,NA,Ghana,GHA,Ghana,Ghana,Ghana,1.1,343206.3722331556,393539.24273841426
pota,NA,NA,NA,Guinea-Bissau,GNB,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,1.1,343206.3722331556,393539.24273841426
pota,124109.7002698183,130343.2972154266,7409.188917984044,Egypt,EGY,Egypt,Egypt,Egypt,1.1,-2851.7304328783503,-2274.1058530700766
pota,157.0999999269843,3060.3270595707,171.5360010531731,Mauritania,MRT,Mauritania,Mauritania,Mauritania,1.1,17827.04313641583,28541.10986809107
pota,NA,NA,NA,Equatorial Guinea,GNQ,Eq. Guinea,Equatorial Guinea,Eq. Guinea,1.1,343206.3722331556,393539.24273841426
pota,NA,NA,NA,Gambia,GMB,Gambia,The Gambia,Gambia,1.1,343206.3722331556,393539.24273841426
pota,NA,NA,NA,Bir Tawil,BRT,Bir Tawil,Bir Tawil,Bir Tawil,1.1,343206.3722331556,393539.24273841426
pota,36589.90007042885,3591791.643104553,3976996.646994591,Madagascar,MDG,Madagascar,Madagascar,Madagascar,1.1,484483.8989471677,538473.8087284204
pota,NA,NA,NA,Comoros,COM,Comoros,Comoros,Comoros,1.1,343206.3722331556,393539.24273841426
pota,NA,NA,NA,São Tomé and Principe,STP,São Tomé and Principe,São Tomé and Principe,Sao Tome and Principe,1.1,343206.3722331556,393539.24273841426
pota,NA,NA,NA,Cabo Verde,CPV,Cabo Verde,Republic of Cabo Verde,Cabo Verde,1.1,343206.3722331556,393539.24273841426
rice,23990.29992251843,3170259.298822403,1824629.308787376,Ethiopia,ETH,Ethiopia,Ethiopia,Ethiopia,1.6,394144.1093748048,466825.26050604414
rice,2669.899997234344,302618.4447901249,144845.9867544472,South Sudan,SDS,S. Sudan,South Sudan,S. Sudan,1.6,296954.485184746,359293.95288277895
rice,140.8999986574054,5686.533690929413,373.2156638801098,Somalia,SOM,Somalia,Somalia,Somalia,1.6,40841.02233467131,63038.279678980005
rice,12950.40018711239,1868781.590690374,1607900.289746284,Kenya,KEN,Kenya,Kenya,Kenya,1.6,581658.3578321396,661025.0075131704
rice,44979.90010793507,5467077.256896019,3146869.958512306,Malawi,MWI,Malawi,Malawi,Malawi,1.6,362075.6948544999,428925.38736331795
rice,456051.3007156253,53096396.50556946,40924924.94333977,United Republic of Tanzania,TZA,Tanzania,Tanzania,Tanzania,1.6,429895.17550001276,493929.67782955
rice,NA,NA,NA,Somaliland,SOL,Somaliland,Somaliland,Somaliland,1.6,360857.7151520985,418790.57182541944
rice,563.6000520214438,24502.04343080521,2833.687977015972,Morocco,MAR,Morocco,Morocco,Morocco,1.6,52420.04854826873,76330.84103064793
rice,NA,NA,NA,Western Sahara,SAH,W. Sahara,Western Sahara,W. Sahara,1.6,360857.7151520985,418790.57182541944
rice,93.20000052452087,10091.50694274902,13427.89697933197,Republic of the Congo,COG,Congo,Republic of the Congo,Republic of the Congo,1.6,621667.3457716288,681220.2297552687
rice,230473.5998389199,34899113.77231312,35202556.4302963,Democratic Republic of the Congo,COD,Dem. Rep. Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,1.6,692985.1525797802,776268.0647579535
rice,NA,NA,NA,Namibia,NAM,Namibia,Namibia,Namibia,1.6,360857.7151520985,418790.57182541944
rice,804.7000060081482,59841.18227136135,31980.43645699695,South Africa,ZAF,South Africa,South Africa,South Africa,1.6,208021.75900666503,248922.2809446697
rice,0.1000000014901161,4.180843534413725e-4,NA,Libya,LBY,Libya,Libya,Libya,1.6,-5862.834226817229,-5860.534762907566
rice,0.1000000014901161,0.1224063858389854,0.01310412026941776,Tunisia,TUN,Tunisia,Tunisia,Tunisia,1.6,-4264.123743810399,-3590.8886317279644
rice,10749.49988529831,1359694.405803204,459054.5191564858,Zambia,ZMB,Zambia,Zambia,Zambia,1.6,266665.6812087358,336234.67801523325
rice,237546.9000434875,24617693.37887573,29831512.82333374,Sierra Leone,SLE,Sierra Leone,Sierra Leone,Sierra Leone,1.6,549595.9918316655,606594.1313818046
rice,825542.2007319927,98321352.09643936,82386216.8129654,Guinea,GIN,Guinea,Guinea,Guinea,1.6,469228.005321646,534732.5229648299
rice,65021.30009613186,8624170.353616714,10910237.9812336,Liberia,LBR,Liberia,Liberia,Liberia,1.6,730964.1157257535,803913.9596611469
rice,10773.70000761002,1492983.715694427,911597.4164209962,Central African Republic,CAF,Central African Rep.,Central African Republic,Central African Rep.,1.6,431410.4306105786,507627.6116209948
rice,64.50000029802322,7035.290657043457,318.0063947439194,Sudan,SDN,Sudan,Sudan,Sudan,1.6,112195.96663305633,172186.81691980414
rice,NA,NA,NA,Djibouti,DJI,Djibouti,Djibouti,Djibouti,1.6,360857.7151520985,418790.57182541944
rice,11.99999988824129,1046.944994926453,61.01203060150146,Eritrea,ERI,Eritrea,Eritrea,Eritrea,1.6,92750.86404801016,140735.84342903423
rice,127564.3997950554,14317579.27543831,13738526.98882675,Ivory Coast,CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,1.6,491913.64453458216,553644.5711421819
rice,327680.9994868487,20064348.38634488,1924812.790733924,Mali,MLI,Mali,Mali,Mali,1.6,71800.22977640468,105477.46962177625
rice,80291.00013069063,6490009.018805265,266352.9943147302,Senegal,SEN,Senegal,Senegal,Senegal,1.6,80392.09917822618,124849.19841142505
rice,1165469.797251813,122085925.9033446,54086152.57847011,Nigeria,NGA,Nigeria,Nigeria,Nigeria,1.6,260316.1141003479,317930.01315219235
rice,17444.00014681369,1861035.898662567,898354.9211165905,Benin,BEN,Benin,Benin,Benin,1.6,280760.11479328794,339437.58186791284
rice,10695.8999761194,1421213.132900715,1157403.787693262,Angola,AGO,Angola,Angola,Angola,1.6,512705.1791575672,585786.1938305364
rice,NA,NA,NA,Botswana,BWA,Botswana,Botswana,Botswana,1.6,360857.7151520985,418790.57182541944
rice,245.5000026226044,15406.13925230503,1416.630802072585,Zimbabwe,ZWE,Zimbabwe,Zimbabwe,Zimbabwe,1.6,72816.05043798554,107330.82232494756
rice,37178.80025295913,3567301.385528564,541368.8110766634,Chad,TCD,Chad,Chad,Chad,1.6,135478.54103936622,188250.97448776805
rice,147.700002335012,7433.889282990247,2742.414534155279,Algeria,DZA,Algeria,Algeria,Algeria,1.6,108350.78899533708,136032.8407286256
rice,78170.29988763481,9107107.198581696,6646919.663508117,Mozambique,MOZ,Mozambique,Mozambique,Mozambique,1.6,412709.4474320345,476786.3278638602
rice,41.50000044703484,4410.210966110229,3115.893372058868,eSwatini,SWZ,eSwatini,Kingdom of eSwatini,eSwatini,1.6,366847.4437719044,425296.0222112315
rice,28125.50002384186,4045873.968261719,3205574.303955078,Burundi,BDI,Burundi,Burundi,Burundi,1.6,543900.9904049485,623018.8969544366
rice,6515.000052981079,943482.2790431976,1252579.024484634,Rwanda,RWA,Rwanda,Rwanda,Rwanda,1.6,831838.3936327558,911487.7028044907
rice,40012.60019659251,6680039.544698715,6787405.83141613,Uganda,UGA,Uganda,Uganda,Uganda,1.6,769152.3059936963,860973.925471882
