region,rebound,c_loss_ratio,co2_low,co2_high,luc,a
S_Afr,0.1,H,84551244996.63062,92028480103.94739,1016272.8507589872,14469251.926413117
S_Afr,0.1,S,110263332492.28877,119092882973.5171,1016272.8507589872,14469251.926413117
S_Afr,0.2,H,186701350330.6139,189541222161.13785,2115923.9530294538,15568903.028683584
S_Afr,0.2,S,241713765975.94662,245063101877.26187,2115923.9530294538,15568903.028683584
S_Afr,0.3,H,288851455664.5971,288993508160.2101,3215575.055299919,16668554.130954048
S_Afr,0.3,S,373164199459.6044,373329082007.6384,3215575.055299919,16668554.130954048
S_Afr,0.4,H,391001560998.5803,391190964326.0643,4315226.157570384,17768205.233224515
S_Afr,0.4,S,504614632943.2621,504834476340.64087,4315226.157570384,17768205.233224515
S_Afr,0.5,H,493151666332.5634,493388420491.9184,5414877.259840849,18867856.33549498
S_Afr,0.5,S,636065066426.9197,636339870673.6432,5414877.259840849,18867856.33549498
S_Afr,0.6,H,595301771666.5468,595585876657.7727,6514528.362111316,19967507.437765446
S_Afr,0.6,S,767515499910.5776,767845265006.6459,6514528.362111316,19967507.437765446
S_Afr,0.7,H,697451877000.5299,697783332823.6268,7614179.464381781,21067158.54003591
S_Afr,0.7,S,898965933394.2352,899350659339.6482,7614179.464381781,21067158.54003591
S_Afr,0.8,H,799601982334.5132,799980788989.4811,8713830.566652246,22166809.642306376
S_Afr,0.8,S,1030416366877.8931,1030856053672.6506,8713830.566652246,22166809.642306376
S_Afr,0.9,H,901752087668.4962,902178245155.3351,9813481.66892271,23266460.744576838
S_Afr,0.9,S,1161866800361.5505,1162361448005.6528,9813481.66892271,23266460.744576838
S_Afr,1,H,1003902193002.4795,1004375701321.1893,10913132.771193177,24366111.846847307
S_Afr,1,S,1293317233845.2085,1293866842338.6555,10913132.771193177,24366111.846847307
W_Afr,0,H,-20331745077.620842,0,-72554.00553164593,95653284.21642967
W_Afr,0,S,-24802484876.71067,0,-72554.00553164593,95653284.21642967
W_Afr,0.1,H,2831586809374.452,2840446356766.3486,12473529.949649481,108199368.17161079
W_Afr,0.1,S,3421747625338.8486,3432244013217.896,12473529.949649481,108199368.17161079
W_Afr,0.2,H,5683505363826.524,5685267013365.222,25019613.9048306,120745452.12679191
W_Afr,0.2,S,6868297735554.406,6870282884591.42,25019613.9048306,120745452.12679191
W_Afr,0.3,H,8535423918278.599,8535458279704.967,37565697.860011734,133291536.08197305
W_Afr,0.3,S,10314847845769.967,10314887428657.201,37565697.860011734,133291536.08197305
W_Afr,0.4,H,11387342472730.67,11387368118545.492,50111781.815192856,145837620.03715417
W_Afr,0.4,S,13761397955985.523,13761427419078.605,50111781.815192856,145837620.03715417
W_Afr,0.5,H,14239261027182.742,14239278212402.055,62657865.770373985,158383703.9923353
W_Afr,0.5,S,17207948066201.084,17207967809372.424,62657865.770373985,158383703.9923353
W_Afr,0.6,H,17091179581634.818,17091188306258.621,75203949.72555512,170929787.9475164
W_Afr,0.6,S,20654498176416.645,20654508199666.246,75203949.72555512,170929787.9475164
W_Afr,0.7,H,19943098136086.89,19943098400115.184,87750033.68073624,183475871.90269756
W_Afr,0.7,S,24101048286632.203,24101048589960.066,87750033.68073624,183475871.90269756
W_Afr,0.8,H,22795016690538.96,22795016690538.96,100296117.63591737,196021955.85787868
W_Afr,0.8,S,27547598396847.76,27547598396847.76,100296117.63591737,196021955.85787868
W_Afr,0.9,H,25646935244991.035,25646935244991.035,112842201.59109847,208568039.81305978
W_Afr,0.9,S,30994148507063.316,30994148507063.316,112842201.59109847,208568039.81305978
W_Afr,1,H,28498853799443.105,28498853799443.105,125388285.54627961,221114123.76824093
W_Afr,1,S,34440698617278.875,34440698617278.875,125388285.54627961,221114123.76824093
